DATE,STATE,UR
2022-06-01,Illinois,4.4
2022-07-01,Illinois,4.4
2022-08-01,Illinois,4.5
2022-09-01,Illinois,4.6
2022-10-01,Illinois,4.6
2022-11-01,Illinois,4.6
2022-12-01,Illinois,4.6
2021-01-01,Indiana,4.7
2021-02-01,Indiana,4.5
2021-03-01,Indiana,4.4
2021-04-01,Indiana,4.3
2021-05-01,Indiana,4.1
2021-06-01,Indiana,4.1
2021-07-01,Indiana,3.9
2021-08-01,Indiana,3.7
2021-09-01,Indiana,3.5
2021-10-01,Indiana,3.3
2021-11-01,Indiana,3.2
2021-12-01,Indiana,3.0
2022-01-01,Indiana,2.9
2022-02-01,Indiana,2.8
2022-03-01,Indiana,2.8
2022-04-01,Indiana,2.8
2022-05-01,Indiana,2.9
2022-06-01,Indiana,2.9
2022-07-01,Indiana,3.0
2022-08-01,Indiana,3.1
2022-09-01,Indiana,3.2
2022-10-01,Indiana,3.2
2022-11-01,Indiana,3.2
2022-12-01,Indiana,3.1
2021-01-01,Iowa,4.2
2021-02-01,Iowa,4.2
2021-03-01,Iowa,4.2
2021-04-01,Iowa,4.2
2021-05-01,Iowa,4.1
2021-06-01,Iowa,4.1
2021-07-01,Iowa,4.0
2021-08-01,Iowa,3.8
2021-09-01,Iowa,3.6
2021-10-01,Iowa,3.4
2021-11-01,Iowa,3.1
2021-12-01,Iowa,2.9
2022-01-01,Iowa,2.7
2022-02-01,Iowa,2.5
2022-03-01,Iowa,2.4
2022-04-01,Iowa,2.3
2022-05-01,Iowa,2.4
2022-06-01,Iowa,2.6
2022-07-01,Iowa,2.8
2022-08-01,Iowa,2.9
2022-09-01,Iowa,3.1
2022-10-01,Iowa,3.1
2022-11-01,Iowa,3.1
2022-12-01,Iowa,3.0
2021-01-01,Kansas,3.9
2021-02-01,Kansas,3.7
2021-03-01,Kansas,3.6
2021-04-01,Kansas,3.5
2021-05-01,Kansas,3.5
2021-06-01,Kansas,3.5
2021-07-01,Kansas,3.4
2021-08-01,Kansas,3.3
2021-09-01,Kansas,3.1
2021-10-01,Kansas,2.9
2021-11-01,Kansas,2.7
2021-12-01,Kansas,2.6
2022-01-01,Kansas,2.5
2022-02-01,Kansas,2.4
2022-03-01,Kansas,2.4
2022-04-01,Kansas,2.4
2022-05-01,Kansas,2.5
2022-06-01,Kansas,2.6
2022-07-01,Kansas,2.7
2022-08-01,Kansas,2.8
2022-09-01,Kansas,2.9
2022-10-01,Kansas,3.0
2022-11-01,Kansas,2.9
2022-12-01,Kansas,2.9
2021-01-01,Kentucky,4.6
2021-02-01,Kentucky,4.5
2021-03-01,Kentucky,4.5
2021-04-01,Kentucky,4.5
2021-05-01,Kentucky,4.5
2021-06-01,Kentucky,4.5
2021-07-01,Kentucky,4.5
2021-08-01,Kentucky,4.5
2021-09-01,Kentucky,4.4
2021-10-01,Kentucky,4.3
2021-11-01,Kentucky,4.2
2021-12-01,Kentucky,4.1
2022-01-01,Kentucky,4.0
2022-02-01,Kentucky,3.9
2022-03-01,Kentucky,3.8
2022-04-01,Kentucky,3.8
2022-05-01,Kentucky,3.8
2022-06-01,Kentucky,3.9
2022-07-01,Kentucky,3.9
2022-08-01,Kentucky,4.0
2022-09-01,Kentucky,4.0
2022-10-01,Kentucky,4.0
2022-11-01,Kentucky,3.9
2022-12-01,Kentucky,3.9
2021-01-01,Louisiana,7.0
2021-02-01,Louisiana,6.8
2021-03-01,Louisiana,6.6
2021-04-01,Louisiana,6.4
2021-05-01,Louisiana,6.1
2021-06-01,Louisiana,5.9
2021-07-01,Louisiana,5.5
2021-08-01,Louisiana,5.2
2021-09-01,Louisiana,4.8
2021-10-01,Louisiana,4.5
2021-11-01,Louisiana,4.3
2021-12-01,Louisiana,4.1
2022-01-01,Louisiana,4.0
2022-02-01,Louisiana,3.9
2022-03-01,Louisiana,3.7
2022-04-01,Louisiana,3.6
2022-05-01,Louisiana,3.5
2022-06-01,Louisiana,3.5
2022-07-01,Louisiana,3.5
2022-08-01,Louisiana,3.5
2022-09-01,Louisiana,3.6
2022-10-01,Louisiana,3.6
2022-11-01,Louisiana,3.6
2022-12-01,Louisiana,3.5
2021-01-01,Maine,4.4
2021-02-01,Maine,4.6
2021-03-01,Maine,4.8
2021-04-01,Maine,4.9
2021-05-01,Maine,4.8
2021-06-01,Maine,5.0
2021-07-01,Maine,4.9
2021-08-01,Maine,4.8
2021-09-01,Maine,4.6
2021-10-01,Maine,4.5
2021-11-01,Maine,4.2
2021-12-01,Maine,3.9
2022-01-01,Maine,3.6
2022-02-01,Maine,3.2
2022-03-01,Maine,2.9
2022-04-01,Maine,2.7
2022-05-01,Maine,2.6
2022-06-01,Maine,2.6
2022-07-01,Maine,2.7
2022-08-01,Maine,2.7
2022-09-01,Maine,3.0
2022-10-01,Maine,3.1
2022-11-01,Maine,3.1
2022-12-01,Maine,3.1
2021-01-01,Maryland,6.4
2021-02-01,Maryland,6.2
2021-03-01,Maryland,6.0
2021-04-01,Maryland,5.9
2021-05-01,Maryland,5.7
2021-06-01,Maryland,5.7
2021-07-01,Maryland,5.5
2021-08-01,Maryland,5.3
2021-09-01,Maryland,4.8
2021-10-01,Maryland,4.5
2021-11-01,Maryland,4.1
2021-12-01,Maryland,3.7
2022-01-01,Maryland,3.7
2022-02-01,Maryland,3.4
2022-03-01,Maryland,3.2
2022-04-01,Maryland,3.1
2022-05-01,Maryland,3.1
2022-06-01,Maryland,3.2
2022-07-01,Maryland,3.2
2022-08-01,Maryland,3.4
2022-09-01,Maryland,3.2
2022-10-01,Maryland,3.2
2022-11-01,Maryland,3.1
2022-12-01,Maryland,3.0
2021-01-01,Massachusetts,7.1
2021-02-01,Massachusetts,6.7
2021-03-01,Massachusetts,6.4
2021-04-01,Massachusetts,6.3
2021-05-01,Massachusetts,5.8
2021-06-01,Massachusetts,5.8
2021-07-01,Massachusetts,5.5
2021-08-01,Massachusetts,5.2
2021-09-01,Massachusetts,4.8
2021-10-01,Massachusetts,4.6
2021-11-01,Massachusetts,4.2
2021-12-01,Massachusetts,3.9
2022-01-01,Massachusetts,4.0
2022-02-01,Massachusetts,3.9
2022-03-01,Massachusetts,3.7
2022-04-01,Massachusetts,3.7
2022-05-01,Massachusetts,3.7
2022-06-01,Massachusetts,3.7
2022-07-01,Massachusetts,3.7
2022-08-01,Massachusetts,3.9
2022-09-01,Massachusetts,3.7
2022-10-01,Massachusetts,3.8
2022-11-01,Massachusetts,3.7
2022-12-01,Massachusetts,3.7
2021-01-01,Michigan,6.5
2021-02-01,Michigan,6.4
2021-03-01,Michigan,6.2
2021-04-01,Michigan,6.2
2021-05-01,Michigan,6.2
2021-06-01,Michigan,6.2
2021-07-01,Michigan,6.2
2021-08-01,Michigan,5.9
2021-09-01,Michigan,5.6
2021-10-01,Michigan,5.3
2021-11-01,Michigan,4.9
2021-12-01,Michigan,4.6
2022-01-01,Michigan,4.4
2022-02-01,Michigan,4.2
2022-03-01,Michigan,4.1
2022-04-01,Michigan,4.0
2022-05-01,Michigan,4.0
2022-06-01,Michigan,4.0
2022-07-01,Michigan,4.1
2022-08-01,Michigan,4.3
2022-09-01,Michigan,4.3
2022-10-01,Michigan,4.4
2022-11-01,Michigan,4.4
2022-12-01,Michigan,4.3
2021-01-01,Minnesota,4.5
2021-02-01,Minnesota,4.3
2021-03-01,Minnesota,4.1
2021-04-01,Minnesota,4.0
2021-05-01,Minnesota,3.9
2021-06-01,Minnesota,3.9
2021-07-01,Minnesota,3.8
2021-08-01,Minnesota,3.7
2021-09-01,Minnesota,3.6
2021-10-01,Minnesota,3.4
2021-11-01,Minnesota,3.2
2021-12-01,Minnesota,3.0
2022-01-01,Minnesota,2.8
2022-02-01,Minnesota,2.6
2022-03-01,Minnesota,2.4
2022-04-01,Minnesota,2.3
2022-05-01,Minnesota,2.4
2022-06-01,Minnesota,2.4
2022-07-01,Minnesota,2.6
2022-08-01,Minnesota,2.7
2022-09-01,Minnesota,2.9
2022-10-01,Minnesota,3.0
2022-11-01,Minnesota,3.0
2022-12-01,Minnesota,2.9
2021-01-01,Mississippi,6.5
2021-02-01,Mississippi,6.4
2021-03-01,Mississippi,6.2
2021-04-01,Mississippi,6.1
2021-05-01,Mississippi,5.9
2021-06-01,Mississippi,5.7
2021-07-01,Mississippi,5.5
2021-08-01,Mississippi,5.2
2021-09-01,Mississippi,5.0
2021-10-01,Mississippi,4.7
2021-11-01,Mississippi,4.5
2021-12-01,Mississippi,4.3
2022-01-01,Mississippi,4.1
2022-02-01,Mississippi,4.0
2022-03-01,Mississippi,3.8
2022-04-01,Mississippi,3.7
2022-05-01,Mississippi,3.7
2022-06-01,Mississippi,3.7
2022-07-01,Mississippi,3.8
2022-08-01,Mississippi,3.9
2022-09-01,Mississippi,4.0
2022-10-01,Mississippi,4.1
